round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.2533011430823808,0.03749300503637381,67.0,1787.0,189.0,0.0,0.21739130434782608,0.21739130434782608,0.3659420289855072,0.5869565217391305,0.4105072463768116,0.782608695652174,0.44044168391994476,1.0,0.05291005291005291,0.1617283950617284,131.0,1.9813664596273293,0.0709625745797111,0.11673589085675373,0.0
1,0.2563559322033898,0.03425414364640884,62.0,1810.0,189.0,0.0,0.24444444444444444,0.24444444444444444,0.337037037037037,0.4666666666666667,0.3781481481481481,0.6444444444444445,0.42510582010582,1.0,0.0582010582010582,0.16666666666666666,133.0,,,,0.0
2,0.25960780449349624,0.03691275167785235,66.0,1788.0,189.0,0.0,0.2127659574468085,0.2127659574468085,0.2943262411347518,0.40425531914893614,0.3336879432624113,0.574468085106383,0.385241472475515,1.0,0.05291005291005291,0.17433751743375175,125.0,,,,0.0
3,0.26202207331493893,0.028064146620847653,49.0,1746.0,189.0,0.0,0.06060606060606061,0.06060606060606061,0.202020202020202,0.3939393939393939,0.26565656565656565,0.6666666666666666,0.30836940836940835,1.0,0.010582010582010581,0.1763888888888889,127.0,,,,0.0
4,0.26443634213638156,0.02762119503945885,49.0,1774.0,189.0,0.0,0.1935483870967742,0.1935483870967742,0.3387096774193548,0.5483870967741935,0.3838709677419355,0.7419354838709677,0.41804915514592933,1.0,0.031746031746031744,0.1722689075630252,123.0,,,,0.0
5,0.26591446590461176,0.016638935108153077,30.0,1803.0,189.0,0.0,0.0,0.0,0.10493827160493827,0.25925925925925924,0.16419753086419753,0.5185185185185185,0.2276014109347442,1.0,0.0,0.17082785808147175,130.0,,,,0.0
6,0.26891998423334645,0.0343082114735658,61.0,1778.0,189.0,0.0,0.1702127659574468,0.1702127659574468,0.24113475177304966,0.3404255319148936,0.2815602836879432,0.5319148936170213,0.34660587639311036,1.0,0.042328042328042326,0.17534246575342466,128.0,,,,0.0
7,0.27103862830114306,0.023652365236523653,43.0,1818.0,189.0,0.0,0.22580645161290322,0.22580645161290322,0.34946236559139787,0.5483870967741935,0.3752688172043011,0.6774193548387096,0.41657706093189967,1.0,0.037037037037037035,0.17110799438990182,122.0,,,,0.0
8,0.273206543161214,0.024691358024691357,44.0,1782.0,189.0,0.0,0.15625,0.15625,0.23958333333333331,0.375,0.29427083333333326,0.625,0.3423859126984127,1.0,0.026455026455026454,0.1723122238586156,117.0,,,,0.0
9,0.27581789515175403,0.029708520179372196,53.0,1784.0,189.0,0.0,0.07317073170731707,0.07317073170731707,0.14227642276422764,0.24390243902439024,0.1934959349593496,0.4634146341463415,0.2602787456445993,1.0,0.015873015873015872,0.17008797653958943,116.0,,,,0.0
10,0.27783799763500194,0.022994952327537857,41.0,1783.0,189.0,0.0,0.17857142857142858,0.17857142857142858,0.23809523809523808,0.32142857142857145,0.2934523809523809,0.5714285714285714,0.35083616780045357,1.0,0.026455026455026454,0.17151162790697674,118.0,1.9575757575757575,0.054148349755695255,0.1169423392396475,0.0
11,0.28044934962554197,0.02951002227171492,53.0,1796.0,189.0,0.0,0.16666666666666666,0.16666666666666666,0.25,0.36666666666666664,0.31666666666666665,0.6666666666666666,0.3594444444444444,1.0,0.026455026455026454,0.17210682492581603,116.0,,,,0.0
12,0.28192747339377217,0.016731734523145567,30.0,1793.0,189.0,0.0,0.08695652173913043,0.08695652173913043,0.13043478260869565,0.21739130434782608,0.1826086956521739,0.43478260869565216,0.25759144237405107,1.0,0.010582010582010581,0.16470588235294117,112.0,,,,0.0
13,0.28350413874655106,0.01772853185595568,32.0,1805.0,189.0,0.0,0.037037037037037035,0.037037037037037035,0.08641975308641975,0.14814814814814814,0.11604938271604938,0.2962962962962963,0.2045708406819518,1.0,0.005291005291005291,0.153737658674189,109.0,,,,0.0
14,0.2852778872684273,0.019715224534501644,36.0,1826.0,189.0,0.0,0.037037037037037035,0.037037037037037035,0.10493827160493827,0.2222222222222222,0.12901234567901232,0.3333333333333333,0.21161081716637273,1.0,0.005291005291005291,0.17477203647416414,115.0,,,,0.0
15,0.28626330311391407,0.011166945840312675,20.0,1791.0,189.0,0.0,0.05555555555555555,0.05555555555555555,0.07407407407407407,0.1111111111111111,0.14907407407407408,0.4444444444444444,0.22129629629629627,1.0,0.005291005291005291,0.18115942028985507,125.0,,,,0.0
16,0.2874950729207726,0.013989927252378288,25.0,1787.0,189.0,0.0,0.08695652173913043,0.08695652173913043,0.11594202898550723,0.17391304347826086,0.15507246376811595,0.34782608695652173,0.24218426501035192,1.0,0.010582010582010581,0.17345399698340874,115.0,,,,0.0
17,0.28872684272763105,0.01410039481105471,25.0,1773.0,189.0,0.0,0.15789473684210525,0.15789473684210525,0.1754385964912281,0.21052631578947367,0.24912280701754386,0.5263157894736842,0.3054720133667502,1.0,0.015873015873015872,0.1864951768488746,116.0,,,,0.0
18,0.28931809223492316,0.006756756756756757,12.0,1776.0,189.0,0.0,0.3333333333333333,0.3333333333333333,0.40277777777777773,0.5,0.41944444444444445,0.5833333333333334,0.46296296296296297,1.0,0.021164021164021163,0.18072289156626506,120.0,,,,0.0
19,0.29045132045723293,0.012672176308539946,23.0,1815.0,189.0,0.0,0.05,0.05,0.125,0.25,0.16999999999999998,0.45,0.23658730158730154,1.0,0.005291005291005291,0.1743119266055046,114.0,,,,0.0
20,0.29119038234134803,0.008365867261572783,15.0,1793.0,189.0,0.0,0.14285714285714285,0.14285714285714285,0.17857142857142858,0.21428571428571427,0.20714285714285713,0.35714285714285715,0.28886054421768703,1.0,0.010582010582010581,0.1834862385321101,120.0,2.0118343195266273,0.047199993358352614,0.09286993535826286,0.0
21,0.29192944422546313,0.00846979107848673,15.0,1771.0,189.0,0.0,0.0,0.0,0.038461538461538464,0.07692307692307693,0.05384615384615384,0.15384615384615385,0.1594932844932845,1.0,0.0,0.1781701444622793,111.0,,,,0.0
22,0.29256996452502954,0.007282913165266107,13.0,1785.0,189.0,0.0,0.09090909090909091,0.09090909090909091,0.16666666666666666,0.2727272727272727,0.18939393939393936,0.36363636363636365,0.27435064935064934,1.0,0.005291005291005291,0.17443609022556392,116.0,,,,0.0
23,0.29330902640914464,0.008576329331046312,15.0,1749.0,189.0,0.0,0.07692307692307693,0.07692307692307693,0.11538461538461539,0.15384615384615385,0.15384615384615385,0.3076923076923077,0.24313186813186813,1.0,0.005291005291005291,0.18849840255591055,118.0,,,,0.0
24,0.2940973590855341,0.008820286659316428,16.0,1814.0,189.0,0.0,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.14666666666666667,0.2,0.2512698412698413,1.0,0.010582010582010581,0.16436251920122888,107.0,,,,0.0
25,0.29454079621600315,0.004972375690607734,9.0,1810.0,189.0,0.0,0.0,0.0,0.09259259259259259,0.2222222222222222,0.12037037037037036,0.3333333333333333,0.1998236331569665,1.0,0.0,0.16797488226059654,107.0,,,,0.0
26,0.2951320457232952,0.006633499170812604,12.0,1809.0,189.0,0.0,0.0,0.0,0.0303030303030303,0.09090909090909091,0.053030303030303025,0.18181818181818182,0.1488095238095238,1.0,0.0,0.17530487804878048,115.0,,,,0.0
27,0.29577256602286167,0.007262569832402235,13.0,1790.0,189.0,0.0,0.0,0.0,0.0,0.0,0.03636363636363637,0.18181818181818182,0.14300144300144302,1.0,0.0,0.18095238095238095,114.0,,,,0.0
